state,state_name,channel_name,registros,activaciones,clientes_pagos,tasa_registro_a_pago,spend_asignado,cac_estimado
AZ,Arizona,email,6,5,5,0.833,23.52,4.7
AZ,Arizona,google_ads,31,21,6,0.194,1965.19,327.53
AZ,Arizona,meta,28,13,2,0.071,1097.55,548.77
AZ,Arizona,organic,16,8,6,0.375,0.0,0.0
CA,California,email,45,35,24,0.533,176.36,7.35
CA,California,google_ads,221,172,77,0.348,14009.93,181.95
CA,California,meta,194,116,36,0.186,7656.63,212.68
CA,California,organic,60,44,25,0.417,0.0,0.0
FL,Florida,email,30,21,12,0.4,117.58,9.8
FL,Florida,google_ads,112,77,32,0.286,7100.05,221.88
FL,Florida,meta,105,38,8,0.076,4125.01,515.63
FL,Florida,organic,41,33,16,0.39,0.0,0.0
GA,Georgia,email,12,10,4,0.333,47.03,11.76
GA,Georgia,google_ads,57,42,21,0.368,3613.42,172.07
GA,Georgia,meta,51,22,5,0.098,1988.6,397.72
GA,Georgia,organic,15,10,5,0.333,0.0,0.0
IL,Illinois,email,20,17,11,0.55,78.38,7.13
IL,Illinois,google_ads,66,47,24,0.364,4183.96,174.33
IL,Illinois,meta,57,34,8,0.14,2213.18,276.65
IL,Illinois,organic,22,17,9,0.409,0.0,0.0
MA,Massachusetts,email,11,11,7,0.636,43.11,6.16
MA,Massachusetts,google_ads,37,27,11,0.297,2345.55,213.23
MA,Massachusetts,meta,26,16,5,0.192,1014.39,202.88
MA,Massachusetts,organic,12,9,5,0.417,0.0,0.0
MI,Michigan,email,11,10,4,0.364,43.11,10.78
MI,Michigan,google_ads,53,32,13,0.245,3359.85,258.45
MI,Michigan,meta,36,21,5,0.139,1424.13,284.83
MI,Michigan,organic,18,12,2,0.111,0.0,0.0
NC,North Carolina,email,12,10,9,0.75,47.03,5.23
NC,North Carolina,google_ads,51,34,9,0.176,3233.06,359.23
NC,North Carolina,meta,46,22,7,0.152,1839.49,262.78
NC,North Carolina,organic,22,13,5,0.227,0.0,0.0
NJ,New Jersey,email,9,7,2,0.222,35.27,17.64
NJ,New Jersey,google_ads,50,31,10,0.2,3169.67,316.97
NJ,New Jersey,meta,34,16,4,0.118,1335.77,333.94
NJ,New Jersey,organic,25,11,4,0.16,0.0,0.0
NY,New York,email,26,26,22,0.846,101.9,4.63
NY,New York,google_ads,116,77,38,0.328,7353.63,193.52
NY,New York,meta,80,45,9,0.113,3178.08,353.12
NY,New York,organic,25,17,9,0.36,0.0,0.0
OH,Ohio,email,12,11,4,0.333,47.03,11.76
OH,Ohio,google_ads,58,42,24,0.414,3676.81,153.2
OH,Ohio,meta,55,30,8,0.145,2152.11,269.01
OH,Ohio,organic,22,19,11,0.5,0.0,0.0
PA,Pennsylvania,email,25,21,11,0.44,97.98,8.91
PA,Pennsylvania,google_ads,81,56,26,0.321,5134.86,197.49
PA,Pennsylvania,meta,54,34,14,0.259,2119.95,151.42
PA,Pennsylvania,organic,31,22,10,0.323,0.0,0.0
TX,Texas,email,33,31,15,0.455,129.33,8.62
TX,Texas,google_ads,211,177,98,0.464,13376.0,136.49
TX,Texas,meta,138,56,10,0.072,5365.61,536.56
TX,Texas,organic,47,36,15,0.319,0.0,0.0
VA,Virginia,email,12,9,4,0.333,47.03,11.76
VA,Virginia,google_ads,44,30,13,0.295,2789.31,214.56
VA,Virginia,meta,46,19,5,0.109,1831.48,366.3
VA,Virginia,organic,13,12,7,0.538,0.0,0.0
WA,Washington,email,4,4,3,0.75,15.68,5.23
WA,Washington,google_ads,47,27,12,0.255,2979.49,248.29
WA,Washington,meta,32,16,6,0.188,1230.95,205.16
WA,Washington,organic,17,14,5,0.294,0.0,0.0
